"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule","Condizioni obbligatorieta'"
"Allegati","Sentenza rettifica sesso","SI","","","",""
"Formula","121.4","SI","","","",""
"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule","Si puo' ignorare la sezione per"
"Formazione atto","Numero comunale","SI","evento","numeroatto","","obbligatoria"
"Formazione atto","Data formazione","SI","evento","dataformazione","","obbligatoria"
"Formazione atto","Ora formazione","SI","evento","ora","","obbligatoria"
"Formazione atto","Minuti formazione","SI","evento","minuto","","obbligatoria"
"Dati della trascrizione","Data richiesta","NO","evento.trascrizioneUnioneCivile","dataComunicazione","","obbligatoria"
"Dati della trascrizione","Riassunto trascrizione","SI","evento.trascrizioneUnioneCivile","testoLibero","","obbligatoria"
"Dati della trascrizione","Sesso precedente rettifica","SI","evento.trascrizioneUnioneCivile","sessoPrima","","obbligatoria"
"Dati della trascrizione","Sesso posteriore rettifica","SI","evento.trascrizioneUnioneCivile","sessoDopo","","obbligatoria"
"Ente dichiarante","Data formazione documento","NO","evento.enteDichiarante","dataTrascrizione","121.4","obbligatoria"
"Ente dichiarante","Estremi documento","SI","evento.enteDichiarante","estremiDocumento","","obbligatoria"
"Ente dichiarante","Nome ente","NO","evento.enteDichiarante","nomeEnte","121.4","obbligatoria"
"Ente dichiarante","Stato ente","SI","evento.enteDichiarante","nazioneEnte","","obbligatoria"
"Ente dichiarante","Stato ente - Descrizione","SI","evento.enteDichiarante","nomeNazioneEnte","","obbligatoria"
"Ente dichiarante","Provincia ente","NO","evento.enteDichiarante","idProvinciaEnte","","obbligatoria"
"Ente dichiarante","Provincia ente - Descrizione","NO","evento.enteDichiarante","siglaProvinciaEnte","","obbligatoria"
"Ente dichiarante","Comune ente","NO","evento.enteDichiarante","idComuneEnte","","obbligatoria"
"Ente dichiarante","Comune ente - Descrizione","NO","evento.enteDichiarante","nomeComuneEnte","","obbligatoria"
"Ente dichiarante","Anagrafica Consolato","NO","evento.enteDichiarante","idAnagraficaConsolato","","obbligatoria"
"Ente dichiarante","Anagrafica Consolato - Descrizione","NO","evento.enteDichiarante","nomeAnagraficaConsolato","","obbligatoria"
"Ente dichiarante","Indirizzo Ente","NO","evento.enteDichiarante","indirizzoEnte","","obbligatoria"
"Unito civilmente 1 (sesso rettificato)","Cognome","NO","evento.intestatari[0]","cognome","121.4","obbligatoria"
"Unito civilmente 1 (sesso rettificato)","Nome","SI","evento.intestatari[0]","nome","","obbligatoria"
"Unito civilmente 1 (sesso rettificato)","Identificativo unico nazionale","NO","evento.intestatari[0]","idANPR","","obbligatoria"
"Unito civilmente 1 (sesso rettificato)","Sesso","SI","evento.intestatari[0]","sesso","","obbligatoria"
"Unito civilmente 1 (sesso rettificato)","Formato Data Nascita","NO","evento.intestatari[0]","idFormatodata","","obbligatoria"
