"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","mantenere cognome precedente","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
"2","aggiungere al cognome","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","2"
"3","anteporre al cognome","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","3"
"4","sostituire il cognome precedente","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","4"
"6","Modifica cognome","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","6"
"7","Modifica nome","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","7"
"8","Modifica nome e cognome","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","8"
"9","Aggiunta al cognome","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","9"
"10","Aggiunta al nome","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","10"
"11","padre sostituendolo a quello della madre","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","11"
"12","padre aggiungendolo a quello della madre","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","12"
