"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","A PIEDI (PEDONE, PASSEGGINO, IN BRACCIO)","2025-12-02 20:23:07.0","9999-12-31 00:00:00.0","1"
"2","SEDIA A ROTELLE","2025-12-02 20:23:08.0","9999-12-31 00:00:00.0","2"
"3","MONOPATTINO","2025-12-02 20:23:08.0","9999-12-31 00:00:00.0","4"
"4","MONOPATTINO ELETTRICO","2025-12-02 20:23:08.0","9999-12-31 00:00:00.0","5"
"5","BICICLETTA A PEDALI","2025-12-02 20:23:08.0","9999-12-31 00:00:00.0","6"
"6","BICICLETTA ELETTRICA","2025-12-02 20:23:08.0","9999-12-31 00:00:00.0","7"
"7","CICLOMOTORE","2025-12-02 20:23:09.0","9999-12-31 00:00:00.0","8"
"8","MOTOCICLO","2025-12-02 20:23:09.0","9999-12-31 00:00:00.0","9"
"9","FURGONCINO A TRE RUOTE","2025-12-02 20:23:09.0","9999-12-31 00:00:00.0","10"
"10","AUTOMOBILE","2025-12-02 20:23:09.0","9999-12-31 00:00:00.0","11"
"11","FURGONE, FURGONCINO, PICK-UP","2025-12-02 20:23:09.0","9999-12-31 00:00:00.0","12"
"12","CAMION, AUTOCARRO, VEICOLO DA TRASPORTO PESANTE","2025-12-02 20:23:09.0","9999-12-31 00:00:00.0","13"
"13","AUTOBUS","2025-12-02 20:23:10.0","9999-12-31 00:00:00.0","14"
"14","TRAM","2025-12-02 20:23:10.0","9999-12-31 00:00:00.0","15"
"15","TRATTORE","2025-12-02 20:23:10.0","9999-12-31 00:00:00.0","16"
"16","IMBARCAZIONE NON A MOTORE","2025-12-02 20:23:10.0","9999-12-31 00:00:00.0","17"
"17","TRENO","2025-12-02 20:23:10.0","9999-12-31 00:00:00.0","18"
"18","ALTRO (SPECIFICARE)","2025-12-02 20:23:10.0","9999-12-31 00:00:00.0","19"
"19","SCONOSCIUTO","2025-12-02 20:23:11.0","9999-12-31 00:00:00.0","20"
