"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule","Condizioni obbligatorieta'"
"Allegati","Decreto del tribunale per autorizzazione nonostante impedimento di età","NO","","","","evento.datiEventoMatrimonio.difettoEta,!=,1"
"Allegati","Decreto del tribunale per autorizzazione nonostante impedimento di affinità o affiliazione","NO","","","","evento.datiEventoMatrimonio.impedimentoParentela,!=,0"
"Allegati","Decreto del tribunale per autorizzazione nonostante impedimento di divieto temporaneo di nuove nozze","NO","","","","evento.datiEventoMatrimonio.divietoTemporaneo,=,true"
"Allegati","Copia integrale atto di nascita degli sposi","NO","","","",""
"Allegati","Autocertificazione cumulativa stato libero, residenza, cittadinanza","NO","","","",""
"Allegati","Richiesta rilascio atto di delega","NO","","","",""
"Allegati","Atto di delegazione","NO","","","",""
"Allegati","Copia atto di matrimonio trascritto","NO","","","",""
"Allegati","Nullaosta di cui all'art. 116 o documentazione equivalente","NO","","","",""
"Formula","56","NO","","","",""
"Formula","57","NO","","","",""
"Formula","58","NO","","","",""
"Formula","59","NO","","","",""
"Formula","62","NO","","","",""
"Formula","62-bis","NO","","","",""
"Formula","63","NO","","","",""
"Formula","64","NO","","","",""
"Formula","65","NO","","","",""
"Formula","66","NO","","","",""
"Formula","67","NO","","","",""
"Formula","68","NO","","","",""
"Formula","69","NO","","","",""
"Formula","70","NO","","","",""
"Formula","71","NO","","","",""
"Formula","72","NO","","","",""
"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule","Si puo' ignorare la sezione per"
"Formazione atto","Numero comunale","SI","evento","numeroatto","","obbligatoria"
"Formazione atto","Data formazione","SI","evento","dataformazione","","obbligatoria"
"Formazione atto","Ora formazione","SI","evento","ora","","obbligatoria"
"Formazione atto","Minuti formazione","SI","evento","minuto","","obbligatoria"
"Luogo Celebrazione","Luogo","SI","evento.datiEventoMatrimonio.luogoCelebrazione","luogo","","obbligatoria"
"Luogo Celebrazione","Provincia","SI","evento.datiEventoMatrimonio.luogoCelebrazione","idProvincia","","obbligatoria"
"Luogo Celebrazione","Provincia - Descrizione","SI","evento.datiEventoMatrimonio.luogoCelebrazione","siglaProvincia","","obbligatoria"
"Luogo Celebrazione","Comune","SI","evento.datiEventoMatrimonio.luogoCelebrazione","idComune","","obbligatoria"
"Luogo Celebrazione","Comune - Descrizione","SI","evento.datiEventoMatrimonio.luogoCelebrazione","nomeComune","","obbligatoria"
"Luogo Celebrazione","Data Evento","SI","evento.datiEventoMatrimonio","dataEvento","","obbligatoria"
"Luogo Celebrazione","Ora Evento","SI","evento.datiEventoMatrimonio","oraEvento","","obbligatoria"
"Luogo Celebrazione","Minuti Evento","SI","evento.datiEventoMatrimonio","minutoEvento","","obbligatoria"
