"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule"
"Allegati","Esito accertamento di cittadinanza","SI","","",""
"Formula","193.6","SI","","",""
"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule"
"Formazione atto","Numero comunale","SI","evento","numeroatto",""
"Formazione atto","Data formazione","SI","evento","dataformazione",""
"Formazione atto","Ora formazione","SI","evento","ora",""
"Formazione atto","Minuti formazione","SI","evento","minuto",""
"Dati generali","Data esito accertamento","SI","evento.trascrizioneCittadinanza","dataAccertamento",""
"Dati generali","Esito accertamento","SI","evento.trascrizioneCittadinanza","esitoAccertamento",""
"Dati generali","Data richiesta trascrizione","SI","evento.trascrizioneCittadinanza","dataComunicazione",""
"Dati generali","Riassunto","SI","evento.trascrizioneCittadinanza","testoLibero",""
"Intestatario","Cognome","NO","evento.intestatari[0]","cognome",""
"Intestatario","Nome","SI","evento.intestatari[0]","nome",""
"Intestatario","Codice Fiscale","NO","evento.intestatari[0]","codiceFiscale",""
"Intestatario","Sesso","SI","evento.intestatari[0]","sesso",""
"Intestatario","Data nascita","SI","evento.intestatari[0]","dataNascita",""
"Intestatario","Stato Nascita","SI","evento.intestatari[0]","idStatoNascita",""
"Intestatario","Stato Nascita - Descrizione","SI","evento.intestatari[0]","nomeStatoNascita",""
"Intestatario","Provincia Nascita","NO","evento.intestatari[0]","idProvinciaNascita",""
"Intestatario","Provincia Nascita - Descrizione","NO","evento.intestatari[0]","siglaProvinciaNascita",""
"Intestatario","Comune Nascita","NO","evento.intestatari[0]","idComuneNascita",""
"Intestatario","Comune Nascita - Descrizione","NO","evento.intestatari[0]","nomeComuneNascita",""
"Intestatario","Nazionalità","SI","evento.intestatari[0]","idNazionalita",""
"Intestatario","Nazionalità   - Descrizione","SI","evento.intestatari[0]","nazionalita",""
"Intestatario","Stato Residenza","SI","evento.intestatari[0]","idStatoResidenza",""
"Intestatario","Stato Residenza - Descrizione","SI","evento.intestatari[0]","nomeStatoResidenza",""
"Intestatario","Provincia Residenza","NO","evento.intestatari[0]","idProvinciaResidenza",""
"Intestatario","Provincia Residenza - Descrizione","NO","evento.intestatari[0]","siglaProvinciaResidenza",""
"Intestatario","Comune Residenza","NO","evento.intestatari[0]","idComuneResidenza",""
"Intestatario","Comune Residenza - Descrizione","NO","evento.intestatari[0]","nomeComuneResidenza",""
"Intestatario","Indirizzo Residenza","NO","evento.intestatari[0]","indirizzoResidenza",""
"Intestatario","flag dichiarante","SI","evento.intestatari[0]","flagDichiarante",""
"Intestatario","flag comparente","SI","evento.intestatari[0]","flagComparente",""
"Intestatario","flag firmatario","SI","evento.intestatari[0]","flagFirmatario",""
"Intestatario","Ulteriore cittadinanza di cui è in possesso","SI","evento.trascrizioneCittadinanza","idUlterioreCittadinanza",""
"Intestatario","Ulteriore cittadinanza di cui è in possesso","SI","evento.trascrizioneCittadinanza","ulterioreCittadinanza",""
"Madre","Cognome","NO","evento.madre","cognome",""
"Madre","Nome","SI","evento.madre","nome",""
"Madre","Sesso","SI","evento.madre","sesso",""
"Madre","Data nascita","SI","evento.madre","dataNascita",""
"Madre","Stato di nascita","SI","evento.madre","idStatoNascita",""
"Madre","Stato di nascita - Descrizione","SI","evento.madre","nomeStatoNascita",""
"Madre","Provincia di nascita","NO","evento.madre","idProvinciaNascita",""
"Madre","Provincia di nascita - Descrizione","NO","evento.madre","siglaProvinciaNascita",""
"Madre","Comune di nascita","NO","evento.madre","idComuneNascita",""
"Madre","Comune di nascita - Descrizione","NO","evento.madre","nomeComuneNascita",""
"Madre","Nazionalita","SI","evento.madre","idNazionalita",""
"Madre","Nazionalita - Descrizione","SI","evento.madre","nazionalita",""
"Madre","Stato di residenza","SI","evento.madre","idStatoResidenza",""
"Madre","Stato di residenza - Descrizione","SI","evento.madre","nomeStatoResidenza",""
"Madre","Provincia di residenza","NO","evento.madre","idProvinciaResidenza",""
"Madre","Provincia di residenza - Descrizione","NO","evento.madre","siglaProvinciaResidenza",""
"Madre","Comune di residenza","NO","evento.madre","idComuneResidenza",""
"Madre","Comune di residenza - Descrizione","NO","evento.madre","nomeComuneResidenza",""
"Madre","Indirizzo di residenza","NO","evento.madre","indirizzoResidenza",""
"Madre","flag dichiarante","SI","evento.madre","flagDichiarante",""
"Madre","flag comparente","SI","evento.madre","flagComparente",""
"Madre","flag firmatario","SI","evento.madre","flagFirmatario",""
"Padre","Cognome","NO","evento.padre","cognome",""
"Padre","Nome","SI","evento.padre","nome",""
"Padre","Sesso","SI","evento.padre","sesso",""
"Padre","Data nascita","SI","evento.padre","dataNascita",""
"Padre","Stato di nascita","SI","evento.padre","idStatoNascita",""
"Padre","Stato di nascita - Descrizione","SI","evento.padre","nomeStatoNascita",""
"Padre","Provincia di nascita","NO","evento.padre","idProvinciaNascita",""
"Padre","Provincia di nascita - Descrizione","NO","evento.padre","siglaProvinciaNascita",""
"Padre","Comune di nascita","NO","evento.padre","idComuneNascita",""
"Padre","Comune di nascita - Descrizione","NO","evento.padre","nomeComuneNascita",""
"Padre","Nazionalita","SI","evento.padre","idNazionalita",""
"Padre","Nazionalita - Descrizione","SI","evento.padre","nazionalita",""
"Padre","Stato di residenza","SI","evento.padre","idStatoResidenza",""
"Padre","Stato di residenza - Descrizione","SI","evento.padre","nomeStatoResidenza",""
"Padre","Provincia di residenza","NO","evento.padre","idProvinciaResidenza",""
"Padre","Provincia di residenza - Descrizione","NO","evento.padre","siglaProvinciaResidenza",""
"Padre","Comune di residenza","NO","evento.padre","idComuneResidenza",""
"Padre","Comune di residenza - Descrizione","NO","evento.padre","nomeComuneResidenza",""
"Padre","Indirizzo di residenza","NO","evento.padre","indirizzoResidenza",""
"Padre","flag dichiarante","SI","evento.padre","flagDichiarante",""
"Padre","flag comparente","SI","evento.padre","flagComparente",""
"Padre","flag firmatario","SI","evento.padre","flagFirmatario",""
"Atto collegato","Id atto","NO","evento.eventoCollegato","idAnsc",""
"Atto collegato","Provincia registrazione","SI","evento.eventoCollegato","idProvinciaRegistrazione",""
"Atto collegato","Provincia registrazione - Descrizione","SI","evento.eventoCollegato","siglaProvinciaRegistrazione",""
"Atto collegato","Comune registrazione","SI","evento.eventoCollegato","idComuneRegistrazione",""
"Atto collegato","Comune registrazione - Descrizione","SI","evento.eventoCollegato","nomeComuneRegistrazione",""
"Atto collegato","Tipo evento","SI","evento.eventoCollegato","idtipocontenuto",""
"Atto collegato","Numero Comunale","SI","evento.eventoCollegato","numeroatto",""
"Atto collegato","Anno atto","SI","evento.eventoCollegato","annoAtto",""
"Atto collegato","Data atto","SI","evento.eventoCollegato","dataformazione",""
"Atto collegato","Tipo registro","SI","evento.eventoCollegato","tipologia",""
"Atto collegato","Parte","NO","evento.eventoCollegato","parte",""
"Atto collegato","Serie","NO","evento.eventoCollegato","serie",""
"Autorità mittente","Data formazione documento","SI","evento.trascrizioneCittadinanza.autoritaMittente","dataTrascrizione",""
"Autorità mittente","Estremi documento","SI","evento.trascrizioneCittadinanza.autoritaMittente","estremiDocumento",""
"Autorità mittente","Nome ente","SI","evento.trascrizioneCittadinanza.autoritaMittente","nomeEnte",""
"Autorità mittente","Provincia ente","SI","evento.trascrizioneCittadinanza.autoritaMittente","idProvinciaEnte",""
"Autorità mittente","Provincia ente - Descrizione","NO","evento.trascrizioneCittadinanza.autoritaMittente","siglaProvinciaEnte",""
"Autorità mittente","Comune ente","SI","evento.trascrizioneCittadinanza.autoritaMittente","idComuneEnte",""
